filepath,x1,y1,x2,y2,x1,y1,x2,y2,class_name
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_100051.jpg,0.24666667,0.5316667,0.55777776,0.5316667,0.55777776,0.67833334,0.24666667,0.67833334,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092736.jpg,0.52875,0.50333333,0.9125,0.50333333,0.9125,0.8883333,0.52875,0.8883333,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092822.jpg,0.3275,0.27,0.7275,0.27,0.7275,0.75666666,0.3275,0.75666666,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_100001.jpg,0.72375,0.39666668,0.75,0.39666668,0.75,0.5966667,0.72375,0.5966667,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092856.jpg,0.425,0.175,0.6875,0.175,0.6875,0.41666666,0.425,0.41666666,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092607.jpg,0.385,0.5,0.775,0.5,0.775,0.76,0.385,0.76,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092746_1.jpg,0.29,0.21833333,0.705,0.21833333,0.705,0.7,0.29,0.7,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_100024_1.jpg,0.33555555,0.49833333,0.54888886,0.49833333,0.54888886,0.625,0.33555555,0.625,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092716_1.jpg,0.43,0.31,0.65,0.31,0.65,0.7733333,0.43,0.7733333,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_095846.jpg,0.445,0.47333333,0.8925,0.47333333,0.8925,0.71666664,0.445,0.71666664,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_095910.jpg,0.47875,0.43333334,0.84375,0.43333334,0.84375,0.7133333,0.47875,0.7133333,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092659.jpg,0.26,0.21833333,0.7525,0.21833333,0.7525,0.7683333,0.26,0.7683333,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_095910_1.jpg,0.48,0.41333333,0.84375,0.41333333,0.84375,0.68,0.48,0.68,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092657_1.jpg,0.245,0.24333334,0.7475,0.24333334,0.7475,0.78833336,0.245,0.78833336,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_095903_1.jpg,0.41125,0.455,0.79125,0.455,0.79125,0.75166667,0.41125,0.75166667,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092636.jpg,0.365,0.285,0.78375,0.285,0.78375,0.69666666,0.365,0.69666666,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092618.jpg,0.33375,0.31333333,0.8075,0.31333333,0.8075,0.83,0.33375,0.83,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_095916.jpg,0.55375,0.42,0.905,0.42,0.905,0.64,0.55375,0.64,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_100002.jpg,0.70625,0.41166666,0.74375,0.41166666,0.74375,0.6166667,0.70625,0.6166667,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_095909.jpg,0.4775,0.46166667,0.85,0.46166667,0.85,0.755,0.4775,0.755,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092751.jpg,0.3575,0.30666667,0.7125,0.30666667,0.7125,0.76166666,0.3575,0.76166666,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092710.jpg,0.3125,0.27833334,0.6125,0.27833334,0.6125,0.76,0.3125,0.76,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092732.jpg,0.4975,0.49333334,0.85875,0.49333334,0.85875,0.80333334,0.4975,0.80333334,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_100020.jpg,0.35555556,0.48333332,0.55777776,0.48333332,0.55777776,0.6166667,0.35555556,0.6166667,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092736_1.jpg,0.49375,0.46333334,0.89625,0.46333334,0.89625,0.87,0.49375,0.87,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092703_1.jpg,0.26375,0.265,0.6575,0.265,0.6575,0.76,0.26375,0.76,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_095949_1.jpg,0.5175,0.46,0.59375,0.46,0.59375,0.69,0.5175,0.69,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_100013.jpg,0.53125,0.455,0.645,0.455,0.645,0.66,0.53125,0.66,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092705_1.jpg,0.27,0.26833335,0.6325,0.26833335,0.6325,0.74833333,0.27,0.74833333,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092850_1.jpg,0.47125,0.28166667,0.74,0.28166667,0.74,0.495,0.47125,0.495,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_100017.jpg,0.5225,0.44333333,0.635,0.44333333,0.635,0.64666665,0.5225,0.64666665,Broken
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092704.jpg,0.2575,0.26166666,0.6425,0.26166666,0.6425,0.765,0.2575,0.765,Worn
gs://satu-pama-ai-comex-and-tyre-vcm/comex/CenterHousing3/P_20190727_092810_1.jpg,0.0975,0.42666668,0.53375,0.42666668,0.53375,0.87833333,0.0975,0.87833333,Worn
